id,authorMemberIds,tagIds,titleJa,titleEn,publicationNameJa,publicationNameEn,thumbnail,publishedDate
1,3,11,Wi-Fi CSIを用いたドア開閉動作による個人識別,Wi-Fi CSI-Based Person Identification based on Analyzing Door Opening and Closing Motions,IEEE Access,IEEE Access,1.jpg,2025-03
2,6,10,Reducing Privacy-Latency Tradeoff in Payment Channel Networks: A Group Capacity Solution,Reducing Privacy-Latency Tradeoff in Payment Channel Networks: A Group Capacity Solution,IEEE Access,IEEE Access,2.jpg,2025-03
3,6,10,Routing Method Resolving Privacy-Latency Dilemma in Blockchain Payment Channel Networks,Routing Method Resolving Privacy-Latency Dilemma in Blockchain Payment Channel Networks,ICMU2025,ICMU2025,3.jpg,2025-01
4,6,10,ペイメントチャネルネットワークにおける送金の秘匿を考慮した中継経路決定手法,Relay Routing Method Considering Payment Privacy in Payment Channel Networks,電子情報通信学会論文誌B,IEICE Transactions on Communications,4.jpg,2025-03
5,1,14,Reward Design in Vehicular Crowdsensing Focused on Improving Time-Efficiency of Sensing,Reward Design in Vehicular Crowdsensing Focused on Improving Time-Efficiency of Sensing,ICCE2025,ICCE2025,5.jpg,2025-01
6,1,4,Delay-Resilient Cooperative Velocity Control for Mitigating Congestion Based on Machine Learning,Delay-Resilient Cooperative Velocity Control for Mitigating Congestion Based on Machine Learning,IEEE Vehicular Networking Conference,IEEE Vehicular Networking Conference,6.jpg,2024-05
7,1,11,Wi-Fi CSIを用いたドア開閉動作による個人識別（チャネル相関分析に基づく）,Person Identification Using Wi-Fi CSI Focusing on Door Opening and Closing Motions Based on Per-Channel Similarity Estimation,ICCE2024,ICCE2024,7.jpg,2024-01
8,1,11,Wi-Fi CSIを用いたドア開閉動作による個人識別,Person Identification Using Wi-Fi CSI Focusing on Door Opening and Closing Motions,ICMU2023,ICMU2023,8.jpg,2023-11
9,1,16,スマートウォッチを用いた本の閲覧行動認識,Recognition of browsing a book using smartwatches toward inferring interest,ICCE-Berlin 2024,ICCE-Berlin 2024,9.jpg,2023-09
10,1,13,V2Xを用いた減速制御による交通渋滞緩和,Traffic congestion mitigation by deceleration control with short-term velocity forecasting using V2X,PerVehicle 2023,PerVehicle 2023,10.jpg,2023-03
11,1,16,スマートウォッチを用いた大腿部角度に着目した動作状態認識,Motion State Recognition Focusing on a Person's Angle of Thigh for supporting evacuation route estimation in disaster relief,Sensors and Materials,Sensors and Materials,11.jpg,2021-01
12,1,4,車両通信を用いた車線変更制御による渋滞緩和効果の評価,Performance study of the lane change control using vehicle communications for alleviating congestion,PerVehicle 2021,PerVehicle 2021,12.jpg,2021-03
13,1,4,V2Xシステムを用いた車線変更制御によるサグ部渋滞緩和効果の評価,Evaluation of congestion mitigation effect at sags brought by lane change control using RVC system,PerVehicle 2020,PerVehicle 2020,13.jpg,2020-03
