id,nameJa,nameEn,thumbnail,date
1,新研究成果を発表,Published new research results,1.jpg,2024-06-01 00:00:00
2,国際会議で最優秀論文賞を受賞,Best Paper Award at International Conference,2.jpg,2024-05-15 00:00:00
3,AI研究センター設立のお知らせ,Announcement of AI Research Center Establishment,3.jpg,2024-05-01 00:00:00
4,産学連携プロジェクト開始,Industry-Academia Collaboration Project Launched,4.jpg,2024-04-20 00:00:00
5,新メンバーが研究室に参加,New Members Joined the Laboratory,5.jpg,2024-04-10 00:00:00
6,研究成果がNature誌に掲載,Research Published in Nature,6.jpg,2024-03-30 00:00:00
7,スマートシティ実証実験開始,Smart City Demonstration Experiment Begins,7.jpg,2024-03-15 00:00:00
8,量子機械学習の画期的手法を開発,Breakthrough Method in Quantum Machine Learning,8.jpg,2024-03-01 00:00:00
9,国際シンポジウム開催報告,International Symposium Report,9.jpg,2024-02-20 00:00:00
10,IoTセキュリティ技術の特許取得,IoT Security Technology Patent Acquired,10.jpg,2024-02-10 00:00:00
11,Deep Learning フレームワーク公開,Deep Learning Framework Released,11.jpg,2024-01-25 00:00:00
12,学生が起業コンテストで優勝,Student Wins Entrepreneurship Contest,12.jpg,2024-01-15 00:00:00
13,ヘルスケアAIの共同研究開始,Healthcare AI Joint Research Initiated,13.jpg,2024-01-05 00:00:00
14,ロボット制御システムのデモ実施,Robot Control System Demonstration,14.jpg,2023-12-20 00:00:00
15,ブロックチェーン技術の論文発表,Blockchain Technology Paper Published,15.jpg,2023-12-10 00:00:00
