id,nameJa,nameEn,thumbnail,memberIds,date
1,優秀研究賞,Excellence Research Award,1.jpg,"1,2",2024-03-15
2,国際会議最優秀論文賞,Best Paper Award at International Conference,2.jpg,"3,4",2024-05-20
3,若手研究者奨励賞,Young Researcher Encouragement Award,3.jpg,"5",2024-04-10
4,産学連携貢献賞,Industry-Academia Collaboration Award,4.jpg,"1,10,20",2024-02-28
5,IEEE論文賞,IEEE Paper Award,5.jpg,"7,9",2024-01-15
6,情報処理学会功績賞,IPSJ Merit Award,6.jpg,"1",2023-12-05
7,学生優秀発表賞,Student Excellent Presentation Award,7.jpg,"12,15",2023-11-20
8,国際共同研究賞,International Collaboration Award,8.jpg,"11,16",2023-10-30
9,革新技術賞,Innovation Technology Award,9.jpg,"8,14",2023-09-15
10,社会実装優秀賞,Social Implementation Excellence Award,10.jpg,"17,18,19",2023-08-25
11,ベストデモンストレーション賞,Best Demonstration Award,11.jpg,"6,13",2023-07-10
12,オープンソース貢献賞,Open Source Contribution Award,12.jpg,"2,11",2023-06-18
13,セキュリティ技術賞,Security Technology Award,13.jpg,"7,10",2023-05-22
14,AI応用研究賞,AI Application Research Award,14.jpg,"1,5,9",2023-04-14
15,学術振興賞,Academic Promotion Award,15.jpg,"3,4,20",2023-03-08 
